"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Estimated HIV incidence","2017","Georgia","13","2,500 (2,100 - 3,000, 9.2)","29.5 (24.2 - 34.8)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Georgia","13","1,733","19.6","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Georgia","13","1,517","17.4","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Georgia","13","1,218","14.1","NA"
"Congenital Syphilis","2019","Georgia","13","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Georgia","13","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Georgia","13","Data not available","Data not available","NA"
"Chlamydia","2019","Georgia","13","67,604","764.7","NA"
"Chlamydia","2018","Georgia","13","65,813","754.0","NA"
"Chlamydia","2017","Georgia","13","65,009","753.8","NA"
"Acute Viral Hepatitis C","2019","Georgia","13","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Georgia","13","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Georgia","13","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Georgia","13","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Georgia","13","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Georgia","13","Data not available","Data not available","NA"
"AIDS prevalence","2019","Georgia","13","27,925","315.9","NA"
"AIDS prevalence","2018","Georgia","13","27,445","314.4","NA"
"AIDS prevalence","2017","Georgia","13","26,825","311.1","NA"
"AIDS deaths","2019","Georgia","13","626","7.1","NA"
"AIDS deaths","2018","Georgia","13","653","7.5","NA"
"AIDS deaths","2017","Georgia","13","658","7.6","NA"
"AIDS classifications","2019","Georgia","13","1,062","12.0","NA"
"AIDS classifications","2018","Georgia","13","1,181","13.5","NA"
"AIDS classifications","2017","Georgia","13","1,333","15.5","NA"
"Receipt of HIV medical care","2019","Hawaii","15","1,925","NA","82.8"
"Receipt of HIV medical care","2018","Hawaii","15","1,863","NA","78.7"
"Receipt of HIV medical care","2017","Hawaii","15","1,860","NA","77.1"
"Primary and Secondary Syphilis","2019","Hawaii","15","120","10.0","NA"
"Primary and Secondary Syphilis","2018","Hawaii","15","92","7.7","NA"
"Primary and Secondary Syphilis","2017","Hawaii","15","94","7.8","NA"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","812","NA","18.6"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","681","NA","15.6"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","442","NA","8.1"
"Linkage to HIV care","2019","Hawaii","15","55","NA","84.6"
"Linkage to HIV care","2018","Hawaii","15","60","NA","85.7"
"Linkage to HIV care","2017","Hawaii","15","66","NA","85.7"
"Knowledge of Status","2019","Hawaii","15","2,369","NA","87.8 (77.1 - 100.0, 6.7)"
"Knowledge of Status","2018","Hawaii","15","2,358","NA","87.5 (77.1 - 100.0, 6.7)"
"Knowledge of Status","2017","Hawaii","15","2,413","NA","87.1 (77.4 - 99.8, 6.6)"
"Hepatitis  A","2019","Hawaii","15","Data not available","Data not available","NA"
"Hepatitis  A","2018","Hawaii","15","Data not available","Data not available","NA"
"Hepatitis  A","2017","Hawaii","15","Data not available","Data not available","NA"
"HIV viral suppression","2019","Hawaii","15","1,762","NA","75.8"
"HIV viral suppression","2018","Hawaii","15","1,716","NA","72.5"
"HIV viral suppression","2017","Hawaii","15","1,668","NA","69.1"
"HIV prevalence","2019","Hawaii","15","2,387","199.8","NA"
"HIV prevalence","2018","Hawaii","15","2,373","198.2","NA"
"HIV prevalence","2017","Hawaii","15","2,428","202.5","NA"
"HIV diagnoses","2019","Hawaii","15","65","5.4","NA"
"HIV diagnoses","2018","Hawaii","15","72","6.0","NA"
"HIV diagnoses","2017","Hawaii","15","77","6.4","NA"
"HIV deaths","2019","Hawaii","15","43","3.6","NA"
"HIV deaths","2018","Hawaii","15","36","3.0","NA"
"HIV deaths","2017","Hawaii","15","37","3.1","NA"
"Gonorrhea","2019","Hawaii","15","1,490","124.7","NA"
"Gonorrhea","2018","Hawaii","15","1,488","124.3","NA"
"Gonorrhea","2017","Hawaii","15","1,354","112.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Hawaii","15","2,700 (2,400 - 3,100, 7.1)","225.8 (198.3 - 257.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Hawaii","15","2,700 (2,400 - 3,100, 6.8)","225.2 (197.0 - 255.4)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Hawaii","15","2,800 (2,400 - 3,100, 6.4)","231.0 (201.7 - 260.2)","NA"
"Estimated HIV incidence","2019","Hawaii","15","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Hawaii","15","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Hawaii","15","100 (10 - 180, 44.8*)","8.2 (1.0 - 15.4)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Hawaii","15","95","8.0","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Hawaii","15","87","7.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Hawaii","15","58","4.8","NA"
"Congenital Syphilis","2019","Hawaii","15","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Hawaii","15","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Hawaii","15","Data not available","Data not available","NA"
"Chlamydia","2019","Hawaii","15","8,080","676.2","NA"
"Chlamydia","2018","Hawaii","15","7,719","644.8","NA"
"Chlamydia","2017","Hawaii","15","6,839","570.4","NA"
"Acute Viral Hepatitis C","2019","Hawaii","15","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Hawaii","15","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Hawaii","15","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Hawaii","15","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Hawaii","15","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Hawaii","15","Data not available","Data not available","NA"
"AIDS prevalence","2019","Hawaii","15","1,348","112.8","NA"
"AIDS prevalence","2018","Hawaii","15","1,359","113.5","NA"
"AIDS prevalence","2017","Hawaii","15","1,401","116.8","NA"
"AIDS deaths","2019","Hawaii","15","38","3.2","NA"
"AIDS deaths","2018","Hawaii","15","31","2.6","NA"
"AIDS deaths","2017","Hawaii","15","31","2.6","NA"
"AIDS classifications","2019","Hawaii","15","26","2.2","NA"
"AIDS classifications","2018","Hawaii","15","26","2.2","NA"
"AIDS classifications","2017","Hawaii","15","30","2.5","NA"
"Receipt of HIV medical care","2019","Idaho","16","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Idaho","16","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Idaho","16","Data not available","NA","Data not available"
"Primary and Secondary Syphilis","2019","Idaho","16","47","3.2","NA"
"Primary and Secondary Syphilis","2018","Idaho","16","46","3.2","NA"
"Primary and Secondary Syphilis","2017","Idaho","16","61","4.4","NA"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","471","NA","9.8"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","364","NA","7.6"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","265","NA","6.9"
"Linkage to HIV care","2019","Idaho","16","Data not available","NA","Data not available"
"Linkage to HIV care","2018","Idaho","16","Data not available","NA","Data not available"
"Linkage to HIV care","2017","Idaho","16","Data not available","NA","Data not available"
"Knowledge of Status","2019","Idaho","16","1,213","NA","82.3 (67.9 - 100.0, 9.9)"
"Knowledge of Status","2018","Idaho","16","1,155","NA","81.5 (67.5 - 100.0, 10.2)"
"Knowledge of Status","2017","Idaho","16","1,109","NA","81.5 (68.0 - 100.0, 10.0)"
"Hepatitis  A","2019","Idaho","16","Data not available","Data not available","NA"
"Hepatitis  A","2018","Idaho","16","Data not available","Data not available","NA"
"Hepatitis  A","2017","Idaho","16","Data not available","Data not available","NA"
"HIV viral suppression","2019","Idaho","16","Data not available","NA","Data not available"
"HIV viral suppression","2018","Idaho","16","Data not available","NA","Data not available"
"HIV viral suppression","2017","Idaho","16","Data not available","NA","Data not available"
"HIV prevalence","2019","Idaho","16","1,234","84.0","NA"
"HIV prevalence","2018","Idaho","16","1,174","81.9","NA"
"HIV prevalence","2017","Idaho","16","1,124","80.2","NA"
"HIV diagnoses","2019","Idaho","16","28","1.9","NA"
"HIV diagnoses","2018","Idaho","16","37","2.6","NA"
"HIV diagnoses","2017","Idaho","16","46","3.3","NA"
"HIV deaths","2019","Idaho","16","11","0.7","NA"
"HIV deaths","2018","Idaho","16","15","1.0","NA"
"HIV deaths","2017","Idaho","16","20","1.4","NA"
"Gonorrhea","2019","Idaho","16","1,487","101.3","NA"
"Gonorrhea","2018","Idaho","16","1,133","79.0","NA"
"Gonorrhea","2017","Idaho","16","978","69.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Idaho","16","1,500 (1,200 - 1,800, 10.8)","100.3 (82.6 - 121.6)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Idaho","16","1,400 (1,200 - 1,700, 10.6)","98.8 (80.6 - 119.4)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Idaho","16","1,400 (1,100 - 1,600, 10.1)","97.1 (79.1 - 116.4)","NA"
"Estimated HIV incidence","2019","Idaho","16","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Idaho","16","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Idaho","16","Data suppressed","Data suppressed","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Idaho","16","40","2.7","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","33","2.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Idaho","16","40","2.9","NA"
"Congenital Syphilis","2019","Idaho","16","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Idaho","16","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Idaho","16","Data not available","Data not available","NA"
"Chlamydia","2019","Idaho","16","6,854","466.7","NA"
"Chlamydia","2018","Idaho","16","6,569","458.2","NA"
"Chlamydia","2017","Idaho","16","6,193","441.9","NA"
"Acute Viral Hepatitis C","2019","Idaho","16","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Idaho","16","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Idaho","16","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Idaho","16","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Idaho","16","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Idaho","16","Data not available","Data not available","NA"
"AIDS prevalence","2019","Idaho","16","608","41.4","NA"
"AIDS prevalence","2018","Idaho","16","571","39.8","NA"
"AIDS prevalence","2017","Idaho","16","556","39.7","NA"
"AIDS deaths","2019","Idaho","16","11","0.7","NA"
"AIDS deaths","2018","Idaho","16","13","0.9","NA"
"AIDS deaths","2017","Idaho","16","15","1.1","NA"
"AIDS classifications","2019","Idaho","16","18","1.2","NA"
"AIDS classifications","2018","Idaho","16","23","1.6","NA"
"AIDS classifications","2017","Idaho","16","19","1.4","NA"
"Receipt of HIV medical care","2019","Illinois","17","24,366","NA","70.5"
"Receipt of HIV medical care","2018","Illinois","17","25,132","NA","72.9"
"Receipt of HIV medical care","2017","Illinois","17","24,289","NA","72.2"
"Primary and Secondary Syphilis","2019","Illinois","17","1,374","12.9","NA"
"Primary and Secondary Syphilis","2018","Illinois","17","1,408","13.2","NA"
"Primary and Secondary Syphilis","2017","Illinois","17","1,225","11.4","NA"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","16,567","NA","29.7"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","13,880","NA","24.8"
"PrEP coverage and number of persons prescribed","2017","Illinois","17","10,161","NA","18.6"
"Linkage to HIV care","2019","Illinois","17","1,042","NA","83.2"
"Linkage to HIV care","2018","Illinois","17","1,086","NA","79.8"
"Linkage to HIV care","2017","Illinois","17","1,115","NA","81.8"
"Knowledge of Status","2019","Illinois","17","35,504","NA","86.5 (83.6 - 89.7, 1.8)"
"Knowledge of Status","2018","Illinois","17","35,482","NA","86.4 (83.6 - 89.5, 1.7)"
"Knowledge of Status","2017","Illinois","17","34,661","NA","86.0 (83.2 - 89.0, 1.7)"
"Hepatitis  A","2019","Illinois","17","Data not available","Data not available","NA"
"Hepatitis  A","2018","Illinois","17","Data not available","Data not available","NA"
"Hepatitis  A","2017","Illinois","17","Data not available","Data not available","NA"
"HIV viral suppression","2019","Illinois","17","19,097","NA","55.3"
"HIV viral suppression","2018","Illinois","17","19,710","NA","57.2"
"HIV viral suppression","2017","Illinois","17","18,249","NA","54.2"
"HIV prevalence","2019","Illinois","17","35,841","335.7","NA"
"HIV prevalence","2018","Illinois","17","35,812","334.8","NA"
"HIV prevalence","2017","Illinois","17","34,978","326.2","NA"
"HIV diagnoses","2019","Illinois","17","1,252","11.7","NA"
"HIV diagnoses","2018","Illinois","17","1,374","12.8","NA"
"HIV diagnoses","2017","Illinois","17","1,367","12.7","NA"
"HIV deaths","2019","Illinois","17","530","5.0","NA"
"HIV deaths","2018","Illinois","17","551","5.2","NA"
"HIV deaths","2017","Illinois","17","498","4.6","NA"
"Gonorrhea","2019","Illinois","17","29,251","274.0","NA"
"Gonorrhea","2018","Illinois","17","25,405","237.5","NA"
"Gonorrhea","2017","Illinois","17","23,839","222.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Illinois","17","41,000 (39,600 - 42,500, 1.8)","384.4 (370.7 - 398.0)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Illinois","17","41,000 (39,700 - 42,400, 1.7)","383.7 (370.7 - 396.7)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Illinois","17","40,300 (39,000 - 41,600, 1.7)","375.8 (363.3 - 388.3)","NA"
"Estimated HIV incidence","2019","Illinois","17","1,200 (790 - 1,600, 17.7)","11.3 (7.4 - 15.3)","NA"
"Estimated HIV incidence","2018","Illinois","17","1,300 (930 - 1,700, 14.4)","12.1 (8.7 - 15.6)","NA"
"Estimated HIV incidence","2017","Illinois","17","1,300 (970 - 1,600, 12.6)","12.1 (9.1 - 15.0)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Illinois","17","Data suppressed","Data suppressed","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","1,464","13.7","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Illinois","17","1,192","11.1","NA"
"Congenital Syphilis","2019","Illinois","17","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Illinois","17","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Illinois","17","Data not available","Data not available","NA"
"Chlamydia","2019","Illinois","17","80,966","758.4","NA"
"Chlamydia","2018","Illinois","17","77,278","722.4","NA"
"Chlamydia","2017","Illinois","17","75,439","703.5","NA"
"Acute Viral Hepatitis C","2019","Illinois","17","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Illinois","17","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Illinois","17","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Illinois","17","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Illinois","17","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Illinois","17","Data not available","Data not available","NA"
"AIDS prevalence","2019","Illinois","17","17,581","164.7","NA"
"AIDS prevalence","2018","Illinois","17","17,752","165.9","NA"
"AIDS prevalence","2017","Illinois","17","17,586","164.0","NA"
"AIDS deaths","2019","Illinois","17","399","3.7","NA"
"AIDS deaths","2018","Illinois","17","424","4.0","NA"
"AIDS deaths","2017","Illinois","17","374","3.5","NA"
"AIDS classifications","2019","Illinois","17","521","4.9","NA"
"AIDS classifications","2018","Illinois","17","617","5.8","NA"
"AIDS classifications","2017","Illinois","17","628","5.9","NA"
"Receipt of HIV medical care","2019","Indiana","18","8,070","NA","72.4"
"Receipt of HIV medical care","2018","Indiana","18","8,452","NA","76.9"
"Receipt of HIV medical care","2017","Indiana","18","8,176","NA","77.2"
"Primary and Secondary Syphilis","2019","Indiana","18","Data suppressed","Data suppressed","NA"
"Primary and Secondary Syphilis","2018","Indiana","18","367","6.6","NA"
"Primary and Secondary Syphilis","2017","Indiana","18","319","5.8","NA"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","2,963","NA","13.4"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","2,203","NA","9.9"
"PrEP coverage and number of persons prescribed","2017","Indiana","18","1,546","NA","7.1"
"Linkage to HIV care","2019","Indiana","18","307","NA","63.2"
"Linkage to HIV care","2018","Indiana","18","350","NA","68.4"
"Linkage to HIV care","2017","Indiana","18","349","NA","67.5"
"Knowledge of Status","2019","Indiana","18","11,507","NA","82.6 (77.8 - 88.1, 3.2)"
"Knowledge of Status","2018","Indiana","18","11,289","NA","82.7 (78.1 - 87.9, 3.0)"
"Knowledge of Status","2017","Indiana","18","10,945","NA","82.7 (78.3 - 87.7, 2.9)"
"Hepatitis  A","2019","Indiana","18","Data not available","Data not available","NA"
"Hepatitis  A","2018","Indiana","18","Data not available","Data not available","NA"
"Hepatitis  A","2017","Indiana","18","Data not available","Data not available","NA"
"HIV viral suppression","2019","Indiana","18","6,705","NA","60.2"
"HIV viral suppression","2018","Indiana","18","6,842","NA","62.2"
"HIV viral suppression","2017","Indiana","18","6,562","NA","61.9"
"HIV prevalence","2019","Indiana","18","11,638","207.3","NA"
"HIV prevalence","2018","Indiana","18","11,416","204.8","NA"
"HIV prevalence","2017","Indiana","18","11,062","199.8","NA"
"HIV diagnoses","2019","Indiana","18","486","8.7","NA"
"HIV diagnoses","2018","Indiana","18","509","9.1","NA"
"HIV diagnoses","2017","Indiana","18","515","9.3","NA"
"HIV deaths","2019","Indiana","18","141","2.5","NA"
"HIV deaths","2018","Indiana","18","197","3.5","NA"
"HIV deaths","2017","Indiana","18","214","3.9","NA"
"Gonorrhea","2019","Indiana","18","11,910","212.1","NA"
"Gonorrhea","2018","Indiana","18","12,182","218.5","NA"
"Gonorrhea","2017","Indiana","18","11,831","213.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Indiana","18","13,900 (13,100 - 14,800, 3.1)","248.0 (232.8 - 263.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Indiana","18","13,600 (12,900 - 14,400, 3.0)","244.8 (230.5 - 259.1)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Indiana","18","13,200 (12,500 - 14,000, 2.9)","238.9 (225.3 - 252.5)","NA"
"Estimated HIV incidence","2019","Indiana","18","540 (240 - 850, 28.3)","9.7 (4.3 - 15.1)","NA"
"Estimated HIV incidence","2018","Indiana","18","580 (330 - 840, 22.6)","10.5 (5.8 - 15.1)","NA"
"Estimated HIV incidence","2017","Indiana","18","530 (310 - 750, 21.1)","9.5 (5.6 - 13.5)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Indiana","18","326","5.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","359","6.4","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Indiana","18","250","4.5","NA"
"Congenital Syphilis","2019","Indiana","18","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Indiana","18","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Indiana","18","Data not available","Data not available","NA"
"Chlamydia","2019","Indiana","18","35,384","630.2","NA"
"Chlamydia","2018","Indiana","18","34,910","626.1","NA"
"Chlamydia","2017","Indiana","18","34,261","618.7","NA"
"Acute Viral Hepatitis C","2019","Indiana","18","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Indiana","18","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Indiana","18","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Indiana","18","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Indiana","18","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Indiana","18","Data not available","Data not available","NA"
"AIDS prevalence","2019","Indiana","18","5,672","101.0","NA"
"AIDS prevalence","2018","Indiana","18","5,633","101.0","NA"
"AIDS prevalence","2017","Indiana","18","5,494","99.2","NA"
"AIDS deaths","2019","Indiana","18","110","2.0","NA"
"AIDS deaths","2018","Indiana","18","147","2.6","NA"
"AIDS deaths","2017","Indiana","18","167","3.0","NA"
"AIDS classifications","2019","Indiana","18","196","3.5","NA"
"AIDS classifications","2018","Indiana","18","252","4.5","NA"
"AIDS classifications","2017","Indiana","18","250","4.5","NA"
"Receipt of HIV medical care","2019","Iowa","19","2,452","NA","88.0"
"Receipt of HIV medical care","2018","Iowa","19","2,341","NA","87.4"
"Receipt of HIV medical care","2017","Iowa","19","2,214","NA","87.0"
"Primary and Secondary Syphilis","2019","Iowa","19","132","5.0","NA"
"Primary and Secondary Syphilis","2018","Iowa","19","86","3.3","NA"
"Primary and Secondary Syphilis","2017","Iowa","19","101","3.9","NA"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","1,420","NA","29.8"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","1,154","NA","24.2"
"PrEP coverage and number of persons prescribed","2017","Iowa","19","772","NA","18.0"
"Linkage to HIV care","2019","Iowa","19","91","NA","91.0"
"Linkage to HIV care","2018","Iowa","19","107","NA","93.0"
"Linkage to HIV care","2017","Iowa","19","115","NA","91.3"
"Knowledge of Status","2019","Iowa","19","2,852","NA","83.5 (74.8 - 94.5, 6.0)"
"Knowledge of Status","2018","Iowa","19","2,750","NA","84.3 (75.8 - 94.9, 5.8)"
"Knowledge of Status","2017","Iowa","19","2,638","NA","84.0 (75.7 - 94.2, 5.6)"
"Hepatitis  A","2019","Iowa","19","Data not available","Data not available","NA"
"Hepatitis  A","2018","Iowa","19","Data not available","Data not available","NA"
"Hepatitis  A","2017","Iowa","19","Data not available","Data not available","NA"
"HIV viral suppression","2019","Iowa","19","2,275","NA","81.7"
"HIV viral suppression","2018","Iowa","19","2,156","NA","80.5"
"HIV viral suppression","2017","Iowa","19","2,025","NA","79.6"
"HIV prevalence","2019","Iowa","19","2,888","109.6","NA"
"HIV prevalence","2018","Iowa","19","2,775","105.8","NA"
"HIV prevalence","2017","Iowa","19","2,661","101.8","NA"
"HIV diagnoses","2019","Iowa","19","100","3.8","NA"
"HIV diagnoses","2018","Iowa","19","116","4.4","NA"
"HIV diagnoses","2017","Iowa","19","125","4.8","NA"
"HIV deaths","2019","Iowa","19","58","2.2","NA"
"HIV deaths","2018","Iowa","19","51","1.9","NA"
"HIV deaths","2017","Iowa","19","44","1.7","NA"
"Gonorrhea","2019","Iowa","19","5,306","201.4","NA"
"Gonorrhea","2018","Iowa","19","4,837","184.3","NA"
"Gonorrhea","2017","Iowa","19","3,753","143.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Iowa","19","3,400 (3,000 - 3,800, 5.9)","129.7 (114.6 - 144.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Iowa","19","3,300 (2,900 - 3,600, 5.7)","124.3 (110.4 - 138.2)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Iowa","19","3,100 (2,800 - 3,500, 5.5)","120.1 (107.1 - 133.2)","NA"
"Estimated HIV incidence","2019","Iowa","19","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Iowa","19","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Iowa","19","100 (0 - 210, 49.9*)","4.0 (0.1 - 7.9)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Iowa","19","100","3.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","85","3.2","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Iowa","19","91","3.5","NA"
"Congenital Syphilis","2019","Iowa","19","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Iowa","19","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Iowa","19","Data not available","Data not available","NA"
"Chlamydia","2019","Iowa","19","16,041","609.0","NA"
"Chlamydia","2018","Iowa","19","14,674","559.2","NA"
"Chlamydia","2017","Iowa","19","13,889","531.1","NA"
"Acute Viral Hepatitis C","2019","Iowa","19","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Iowa","19","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Iowa","19","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Iowa","19","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Iowa","19","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Iowa","19","Data not available","Data not available","NA"
"AIDS prevalence","2019","Iowa","19","1,500","56.9","NA"
"AIDS prevalence","2018","Iowa","19","1,498","57.1","NA"
